Date,Open,High,Low,Close,Change(Pips),Change(%)
10/13/2020,105.343,105.629,105.262,105.477,13.4,0.13
10/12/2020,105.705,105.795,105.244,105.322,-38.3,-0.36
10/09/2020,106.022,106.04,105.58,105.625,-39.7,-0.38
10/08/2020,105.958,106.105,105.921,106.026,6.8,0.06
10/07/2020,105.612,106.105,105.592,105.963,35.1,0.33
10/06/2020,105.739,105.783,105.468,105.632,-10.7,-0.10
10/05/2020,105.275,105.793,105.231,105.737,46.2,0.44
10/02/2020,105.518,105.665,104.941,105.329,-18.9,-0.18
10/01/2020,105.525,105.729,105.404,105.547,2.2,0.02
09/30/2020,105.605,105.803,105.402,105.438,-16.7,-0.16
09/29/2020,105.474,105.733,105.342,105.678,20.4,0.19
09/28/2020,105.439,105.692,105.265,105.488,4.9,0.05
09/25/2020,105.386,105.699,105.239,105.55,16.4,0.16
09/24/2020,105.399,105.533,105.207,105.412,1.3,0.01
09/23/2020,104.92,105.494,104.854,105.358,43.8,0.42
09/22/2020,104.646,105.079,104.407,104.945,29.9,0.28
09/21/2020,104.518,104.889,103.998,104.641,12.3,0.12
09/18/2020,104.724,104.873,104.274,104.567,-15.7,-0.15
09/17/2020,104.909,105.173,104.526,104.738,-17.1,-0.16
09/16/2020,105.346,105.431,104.799,104.943,-40.3,-0.38
09/15/2020,105.712,105.816,105.303,105.444,-26.8,-0.25
09/14/2020,106.064,106.168,105.55,105.735,-32.9,-0.31
09/11/2020,106.126,106.266,106.057,106.146,2.0,0.02
09/10/2020,106.143,106.301,105.98,106.129,-1.4,-0.01
09/09/2020,106.02,106.275,105.79,106.178,15.8,0.15
09/08/2020,106.157,106.385,105.864,106.029,-12.8,-0.12
09/07/2020,106.213,106.385,106.13,106.253,4.0,0.04
09/04/2020,106.158,106.503,106.054,106.236,7.8,0.07
09/03/2020,106.184,106.551,106.002,106.185,0.1,0.00
09/02/2020,105.973,106.3,105.849,106.185,21.2,0.20
09/01/2020,105.9,106.155,105.594,105.959,5.9,0.06
08/31/2020,105.441,106.097,105.258,105.904,46.3,0.44
08/28/2020,106.541,106.946,105.202,105.34,-120.1,-1.14
08/27/2020,106.001,106.701,105.603,106.57,56.9,0.53
08/26/2020,106.385,106.559,105.957,105.987,-39.8,-0.38
08/25/2020,105.97,106.576,105.871,106.388,41.8,0.39
08/24/2020,105.761,105.996,105.686,105.979,21.8,0.21
08/21/2020,105.793,106.07,105.439,105.816,2.3,0.02
08/20/2020,106.096,106.217,105.744,105.794,-30.2,-0.29
08/19/2020,105.401,106.152,105.101,106.11,70.9,0.67
08/18/2020,105.996,106.051,105.282,105.404,-59.2,-0.56
08/17/2020,106.528,106.651,105.94,105.996,-53.2,-0.50
08/14/2020,106.925,107.039,106.436,106.572,-35.3,-0.33
08/13/2020,106.802,107.05,106.566,106.923,12.1,0.11
08/12/2020,106.49,107.016,106.442,106.876,38.6,0.36
08/11/2020,105.872,106.681,105.864,106.491,61.9,0.58
08/10/2020,105.807,106.199,105.705,105.957,15.0,0.14
08/07/2020,105.542,106.055,105.457,105.913,37.1,0.35
08/06/2020,105.591,105.696,105.299,105.544,-4.7,-0.04
08/05/2020,105.711,105.874,105.323,105.596,-11.5,-0.11
08/04/2020,105.94,106.194,105.638,105.716,-22.4,-0.21
08/03/2020,105.747,106.472,105.582,105.95,20.3,0.19
07/31/2020,104.648,106.054,104.187,105.929,128.1,1.21
07/30/2020,104.825,105.297,104.682,104.739,-8.6,-0.08
07/29/2020,104.973,105.241,104.772,104.922,-5.1,-0.05
07/28/2020,105.369,105.687,104.958,105.077,-29.2,-0.28
07/27/2020,105.999,106.101,105.114,105.379,-62.0,-0.59
07/24/2020,106.855,106.895,105.679,106.127,-72.8,-0.69
07/23/2020,107.15,107.228,106.709,106.847,-30.3,-0.28
07/22/2020,106.791,107.287,106.692,107.157,36.6,0.34
07/21/2020,107.245,107.369,106.686,106.793,-45.2,-0.42
07/20/2020,107.045,107.546,106.993,107.274,22.9,0.21
07/17/2020,107.192,107.358,106.936,107.017,-17.5,-0.16
07/16/2020,106.89,107.401,106.832,107.275,38.5,0.36
07/15/2020,107.226,107.31,106.666,106.941,-28.5,-0.27
07/14/2020,107.289,107.435,107.119,107.235,-5.4,-0.05
07/13/2020,106.881,107.316,106.785,107.284,40.3,0.38
07/10/2020,107.193,107.266,106.641,106.917,-27.6,-0.26
07/09/2020,107.229,107.395,107.096,107.198,-3.1,-0.03
07/08/2020,107.515,107.713,107.204,107.261,-25.4,-0.24
07/07/2020,107.329,107.79,107.245,107.525,19.6,0.18
07/06/20200,107.447,107.776,107.259,107.395,-5.2,-0.05
07/03/2020,107.498,107.567,107.432,107.484,-1.4,-0.01
07/02/2020,107.462,107.724,107.33,107.495,3.3,0.03
07/01/2020,107.918,108.161,107.36,107.463,-45.5,-0.42
06/30/2020,107.558,107.986,107.522,107.929,37.1,0.34
06/29/2020,107.059,107.883,107.04,107.571,51.2,0.48
06/26/2020,107.186,107.355,106.795,107.218,3.2,0.03
06/25/2020,107.039,107.453,106.955,107.196,15.7,0.15
06/24/2020,106.516,107.072,106.383,107.056,54.0,0.50
06/23/2020,106.897,107.223,106.074,106.536,-36.1,-0.34
06/22/2020,106.764,107.013,106.728,106.902,13.8,0.13
06/19/2020,106.962,107.06,106.768,106.872,-9.0,-0.08
06/18/2020,106.993,107.13,106.669,106.968,-2.5,-0.02
06/17/2020,107.298,107.444,106.954,107.007,-29.1,-0.27
06/16/2020,107.328,107.638,107.209,107.313,-1.5,-0.01
06/15/2020,107.279,107.565,106.998,107.324,4.5,0.04
06/12/2020,106.861,107.554,106.585,107.348,48.7,0.45
06/11/2020,107.113,107.231,106.571,106.857,-25.6,-0.24
06/10/2020,107.75,107.876,106.992,107.129,-62.1,-0.58
06/09/2020,108.425,108.545,107.623,107.754,-67.1,-0.62
06/08/2020,109.545,109.691,108.233,108.425,-112.0,-1.03
06/05/2020,109.126,109.851,109.045,109.591,46.5,0.42
06/04/2020,108.879,109.195,108.613,109.154,27.5,0.25
06/03/2020,108.66,108.981,108.421,108.897,23.7,0.22
06/02/2020,107.58,108.771,107.511,108.672,109.2,1.00
06/01/2020,107.653,107.854,107.375,107.585,-6.8,-0.06
05/29/2020,107.561,107.895,107.079,107.787,22.6,0.21
05/28/2020,107.718,107.904,107.573,107.625,-9.3,-0.09
05/27/2020,107.523,107.949,107.367,107.717,19.4,0.18
05/26/2020,107.672,107.923,107.403,107.533,-13.9,-0.13
05/25/2020,107.544,107.779,107.539,107.702,15.8,0.15
05/22/2020,107.597,107.76,107.32,107.605,0.8,0.01
05/21/2020,107.466,107.848,107.466,107.603,13.7,0.13
05/20/2020,107.696,107.983,107.336,107.52,-17.6,-0.16
05/19/2020,107.291,108.087,107.244,107.7,40.9,0.38
05/18/2020,107.066,107.506,107.066,107.327,26.1,0.24
05/15/2020,107.246,107.436,106.86,107.168,-7.8,-0.07
05/14/2020,107.021,107.365,106.776,107.227,20.6,0.19
05/13/2020,107.098,107.278,106.744,107.026,-7.2,-0.07
05/12/2020,107.594,107.693,107.12,107.147,-44.7,-0.42
05/11/2020,106.474,107.766,106.474,107.65,117.6,1.09
05/08/2020,106.275,106.747,106.204,106.688,41.3,0.39
05/07/2020,106.075,106.657,105.991,106.266,19.1,0.18
05/06/2020,106.419,106.616,105.986,106.101,-31.8,-0.30
05/05/2020,106.687,106.891,106.413,106.543,-14.4,-0.14
05/04/2020,106.76,107.066,106.631,106.713,-4.7,-0.04
05/01/2020,107.126,107.405,106.604,106.912,-21.4,-0.20
04/30/2020,106.537,107.498,106.405,107.167,63.0,0.59
04/29/2020,106.857,106.894,106.357,106.619,-23.8,-0.22
04/28/2020,107.21,107.339,106.56,106.862,-34.8,-0.33
04/27/2020,107.542,107.622,106.993,107.247,-29.5,-0.28
04/24/2020,107.556,107.762,107.371,107.491,-6.5,-0.06
04/23/2020,107.704,108.041,107.344,107.63,-7.4,-0.07
04/22/2020,107.753,107.94,107.516,107.748,-0.5,0.00
04/21/2020,107.601,107.89,107.278,107.756,15.5,0.14
04/20/2020,107.453,107.946,107.398,107.612,15.9,0.15
04/17/2020,107.911,108.085,107.302,107.557,-35.4,-0.33
04/16/2020,107.378,108.08,107.162,107.892,51.4,0.48
04/15/2020,107.21,107.872,106.928,107.432,22.2,0.21
04/14/2020,107.762,107.767,106.982,107.21,-55.2,-0.51
04/13/2020,108.344,108.524,107.498,107.754,-59.0,-0.55
04/10/2020,108.41,108.585,108.323,108.417,0.7,0.01
04/09/2020,108.815,109.064,108.209,108.491,-32.4,-0.30
04/08/2020,108.749,109.104,108.505,108.834,8.5,0.08
04/07/2020,109.203,109.276,108.67,108.779,-42.4,-0.39
04/06/2020,108.346,109.383,108.334,109.235,88.9,0.81
04/03/2020,107.859,108.678,107.8,108.459,60.0,0.55
04/02/2020,107.152,108.092,107.017,107.876,72.4,0.67
04/01/2020,107.524,107.941,106.919,107.169,-35.5,-0.33
03/31/2020,107.662,108.727,107.463,107.564,-9.8,-0.09
03/30/2020,107.684,108.294,107.121,107.809,12.5,0.12
03/27/2020,109.506,109.704,107.756,107.973,-153.3,-1.42
03/26/2020,111.199,111.295,109.205,109.608,-159.1,-1.45
03/25/2020,111.221,111.68,110.752,111.203,-1.8,-0.02
03/24/2020,111.044,111.717,110.085,111.216,17.2,0.15
03/23/2020,110.748,111.596,109.667,111.273,52.5,0.47
03/20/2020,110.701,111.502,109.322,110.853,15.2,0.14
03/19/2020,108.016,110.955,107.865,110.7,268.4,2.42
03/18/2020,107.585,108.651,106.752,108.033,44.8,0.41
03/17/2020,105.826,107.863,105.822,107.614,178.8,1.66
03/16/2020,106.971,107.577,105.145,105.894,-107.7,-1.02
03/13/2020,104.621,108.507,104.508,108.003,338.2,3.13
03/12/2020,104.534,106.103,103.079,104.617,8.3,0.08
03/11/2020,105.624,105.648,104.094,104.476,-114.8,-1.10
03/10/2020,102.354,105.917,102.005,105.634,328.0,3.11
03/09/2020,104.2,104.594,101.178,102.367,-183.3,-1.79
03/06/2020,106.151,106.343,104.994,105.351,-80.0,-0.76
03/05/2020,107.519,107.741,105.966,106.162,-135.7,-1.28
03/04/2020,107.079,107.688,106.846,107.528,44.9,0.42
03/03/2020,108.305,108.536,106.929,107.121,-118.4,-1.11
03/02/2020,107.399,108.578,107.365,108.349,95.0,0.88
02/28/2020,109.591,109.682,107.511,108.064,-152.7,-1.41
02/27/2020,110.424,110.457,109.57,109.586,-83.8,-0.76
02/26/2020,110.2,110.704,110.131,110.422,22.2,0.20
02/25/2020,110.704,111.041,109.89,110.203,-50.1,-0.45
02/24/2020,111.2,111.685,110.336,110.73,-47,-0.42
02/21/2020,112.095,112.188,111.475,111.575,-52.0,-0.47
02/20/2020,111.36,112.229,111.115,112.117,75.7,0.68
02/19/2020,109.87,111.594,109.848,111.35,148,1.33
02/18/2020,109.865,109.945,109.655,109.866,0.1,0.00
02/17/2020,109.814,109.961,109.719,109.869,5.5,0.05
02/14/2020,109.809,109.909,109.694,109.778,-3.1,-0.03
02/13/2020,110.082,110.091,109.621,109.831,-25.1,-0.23
02/12/2020,109.785,110.148,109.766,110.097,31.2,0.28
02/11/2020,109.769,109.964,109.721,109.787,1.8,0.02
02/10/2020,109.678,109.881,109.563,109.776,9.8,0.09
02/07/2020,109.984,110.017,109.533,109.782,-20.2,-0.18
02/06/2020,109.817,110.008,109.69,109.997,18.0,0.16
02/05/2020,109.514,109.842,109.301,109.825,31.1,0.28
02/04/2020,108.66,109.544,108.548,109.521,86.1,0.79
02/03/2020,108.299,108.797,108.299,108.664,36.5,0.34
01/31/2020,108.949,109.133,108.308,108.349,-60.0,-0.55
01/30/2020,109.011,109.067,108.585,108.936,-7.5,-0.07
01/29/2020,109.144,109.263,108.977,109.02,-12.4,-0.11
01/28/2020,108.885,109.2,108.754,109.143,25.8,0.24
01/27/2020,108.907,109.135,108.729,108.899,-0.8,-0.01
01/24/2020,109.489,109.654,109.173,109.284,-20.5,-0.19
01/23/2020,109.832,109.853,109.264,109.488,-34.4,-0.31
01/22/2020,109.859,110.1,109.826,109.839,-2.0,-0.02
01/21/2020,110.18,110.222,109.76,109.872,-30.8,-0.28
01/20/2020,110.049,110.216,110.049,110.179,13.0,0.12
01/17/2020,110.133,110.286,110.045,110.163,3.0,0.03
01/16/2020,109.889,110.176,109.851,110.159,27.0,0.25
01/15/2020,109.977,110.009,109.787,109.898,-7.9,-0.07
01/14/2020,109.939,110.211,109.849,109.994,5.5,0.05
01/13/2020,109.524,109.944,109.501,109.938,41.4,0.38
01/10/2020,109.515,109.692,109.436,109.505,-1.0,-0.01
01/09/2020,109.021,109.581,109.012,109.52,49.9,0.46
01/08/2020,108.44,109.247,107.653,109.133,69.3,0.64
01/07/2020,108.358,108.632,108.243,108.461,10.3,0.09
01/06/2020,107.839,108.508,107.771,108.373,53.4,0.49
01/03/2020,108.558,108.628,107.838,108.11,-44.8,-0.41
01/02/2020,108.733,108.868,108.214,108.557,-17.6,-0.16
